Height Range,Estimated Percentage (%)
138~140.9cm,0.0033
141~145.9cm,0.1353
146~150.9cm,2.0682
151~155.9cm,12.8451
156~160.9cm,32.7285
161~165.9cm,34.4158
166~170.9cm,14.9411
171~175.9cm,2.6635
176~180.9cm,0.1932
181~185.9cm,0.0056
186~190.9cm,0.0001
191~195.9cm,0.0
196~200.9cm,0.0
201cm이상,0.0
