Percentile,Actual Height (cm),Expected CDF (%),Estimated CDF (%),Difference
1th,162.1,1,1.54,0.54
5th,164.9,5,4.87,-0.13
10th,167.3,10,10.97,0.97
25th,170.4,25,25.05,0.05
50th,174.5,50,52.43,2.43
75th,178.2,75,76.52,1.52
90th,182.6,90,93.46,3.46
95th,184.4,95,96.66,1.66
99th,189.1,99,99.63,0.63
