구간	자산(만원)
1분위	9557.5
2분위	12318.66667
3분위	12952.35294
4분위	13404.21053
5분위	15082.5
6분위	18640
7분위	20783.5
8분위	27984.5
9분위	34616.5
10분위	68638.5
