Income Range,Total (%),Male (%),Female (%)
Under 20M,10.6,6.6,17.3
20M–40M,27.6,22.4,36.1
40M–60M,19.8,19.1,20.9
60M–80M,16.2,18.4,12.5
80M–100M,11.5,14.8,6.0
100M+,14.4,18.7,7.2
